Date,Time,Precip(mm)
13 Aug 2014,00:00,4.075738
14 Aug 2014,00:00,10.833279
14 Aug 2014,00:00,10.833279
15 Aug 2014,00:00,1.3077893
15 Aug 2014,00:00,1.3077893
16 Aug 2014,00:00,1.9979421
16 Aug 2014,00:00,1.9979421
17 Aug 2014,00:00,4.8833637
17 Aug 2014,00:00,4.8833637
18 Aug 2014,00:00,0.69898367
18 Aug 2014,00:00,0.69898367
19 Aug 2014,00:00,0.50186735
19 Aug 2014,00:00,0.50186735
20 Aug 2014,00:00,0.25966203
20 Aug 2014,00:00,0.25966203
21 Aug 2014,00:00,8.822069
21 Aug 2014,00:00,8.822069
22 Aug 2014,00:00,0.48468634
22 Aug 2014,00:00,0.48468634
23 Aug 2014,00:00,2.260344
23 Aug 2014,00:00,2.260344
24 Aug 2014,00:00,0.00095926225
24 Aug 2014,00:00,0.00095926225
25 Aug 2014,00:00,0.0048466027
25 Aug 2014,00:00,0.0048466027
26 Aug 2014,00:00,0.0031515956
26 Aug 2014,00:00,0.0031515956
27 Aug 2014,00:00,0.3406536
27 Aug 2014,00:00,0.3406536
28 Aug 2014,00:00,3.5090559
28 Aug 2014,00:00,3.5090559
29 Aug 2014,00:00,7.6114016
29 Aug 2014,00:00,7.6114016
30 Aug 2014,00:00,0.44775197
30 Aug 2014,00:00,0.44775197
31 Aug 2014,00:00,0.0
31 Aug 2014,00:00,0.0
01 Sep 2014,00:00,1.1347774
01 Sep 2014,00:00,1.1347774
02 Sep 2014,00:00,0.0
02 Sep 2014,00:00,0.0
03 Sep 2014,00:00,0.16368926
03 Sep 2014,00:00,0.16368926
04 Sep 2014,00:00,0.7235669
04 Sep 2014,00:00,0.7235669
05 Sep 2014,00:00,2.7949848
05 Sep 2014,00:00,2.7949848
06 Sep 2014,00:00,1.2845323
06 Sep 2014,00:00,1.2845323
07 Sep 2014,00:00,0.0005364418
07 Sep 2014,00:00,0.0005364418
08 Sep 2014,00:00,0.0008121133
08 Sep 2014,00:00,0.0008121133
09 Sep 2014,00:00,0.0008996576
09 Sep 2014,00:00,0.0008996576
10 Sep 2014,00:00,0.0010542572
10 Sep 2014,00:00,0.0010542572
11 Sep 2014,00:00,0.21777488
11 Sep 2014,00:00,0.21777488
12 Sep 2014,00:00,0.14422369
12 Sep 2014,00:00,0.14422369
13 Sep 2014,00:00,0.11606142
13 Sep 2014,00:00,0.11606142
14 Sep 2014,00:00,0.14893897
14 Sep 2014,00:00,0.14893897
15 Sep 2014,00:00,0.24737604
15 Sep 2014,00:00,0.24737604
16 Sep 2014,00:00,0.083792955
16 Sep 2014,00:00,0.083792955
17 Sep 2014,00:00,0.25519544
17 Sep 2014,00:00,0.25519544
18 Sep 2014,00:00,0.27844495
18 Sep 2014,00:00,0.27844495
19 Sep 2014,00:00,0.24274737
19 Sep 2014,00:00,0.24274737
20 Sep 2014,00:00,0.11919066
20 Sep 2014,00:00,0.11919066
21 Sep 2014,00:00,0.0
21 Sep 2014,00:00,0.0
22 Sep 2014,00:00,0.059006736
22 Sep 2014,00:00,0.059006736
23 Sep 2014,00:00,2.3068042
23 Sep 2014,00:00,2.3068042
24 Sep 2014,00:00,0.8128267
24 Sep 2014,00:00,0.8128267
25 Sep 2014,00:00,0.67306125
25 Sep 2014,00:00,0.67306125
26 Sep 2014,00:00,0.70978326
26 Sep 2014,00:00,0.70978326
27 Sep 2014,00:00,0.26584977
27 Sep 2014,00:00,0.26584977
28 Sep 2014,00:00,0.37626177
28 Sep 2014,00:00,0.37626177
29 Sep 2014,00:00,0.2130391
29 Sep 2014,00:00,0.2130391
30 Sep 2014,00:00,0.008558854
30 Sep 2014,00:00,0.008558854
