date,rain_mm_daily
2015-01-14,9.388216
2015-01-15,9.193302
2015-01-16,0.80889094
2015-01-17,0.9708954
2015-01-18,0.91063416
2015-01-19,0.016650185
2015-01-20,0.020045787
2015-01-21,0.48767406
2015-01-22,0.040480867
2015-01-23,6.248961
2015-01-24,0.48480555
2015-01-25,3.0670402
2015-01-26,2.1375325
2015-01-27,2.080176
2015-01-28,9.765795
2015-01-29,0.73127633
2015-01-30,0.31217003
2015-01-31,0.10909885
2015-02-01,0.03928505
2015-02-02,0.0
2015-02-03,0.033007935
2015-02-04,0.002488494
2015-02-05,0.019218773
2015-02-06,0.016570091
2015-02-07,0.001013279
2015-02-08,0.0043902546
2015-02-09,0.0059977174
2015-02-10,0.034479424
2015-02-11,0.34962967
2015-02-12,0.20672753
2015-02-13,1.7755738
2015-02-14,0.016009435
2015-02-15,0.07762015
2015-02-16,9.081056
2015-02-17,0.070914626
2015-02-18,0.483349
2015-02-19,5.551051
2015-02-20,1.3151654
2015-02-21,0.3456287
2015-02-22,10.481428
2015-02-23,5.939431
2015-02-24,2.8609262
2015-02-25,1.7372408
2015-02-26,13.347197
2015-02-27,0.8988399
2015-02-28,0.542555
2015-03-01,3.6489685
2015-03-02,1.5759673
2015-03-03,2.2158566
2015-03-04,1.0141488
2015-03-05,0.37813932
2015-03-06,0.8746423
2015-03-07,5.380555
2015-03-08,5.7958117
2015-03-09,3.4233203
2015-03-10,0.018775463
2015-03-11,4.9505715
2015-03-12,16.68129
2015-03-13,5.3270926
2015-03-14,0.09641424
2015-03-15,0.022580847
2015-03-16,0.84005857
2015-03-17,0.78684837
2015-03-18,0.0038798898
2015-03-19,0.0749724
2015-03-20,0.11991151
2015-03-21,0.0060386956
2015-03-22,0.0015199184
2015-03-23,0.48343092
2015-03-24,1.6621351
2015-03-25,0.093799084
2015-03-26,8.0327015
2015-03-27,0.38098168
2015-03-28,10.889664
2015-03-29,7.5518646
2015-03-30,10.593378
2015-03-31,0.76436067
2015-04-01,2.5316384
2015-04-02,0.10360964
2015-04-03,4.905723
2015-04-04,0.015353784
2015-04-05,0.049829483
2015-04-06,0.09190105
2015-04-07,0.031037256
2015-04-08,-4.4703484e-05
2015-04-09,0.0
2015-04-10,0.0067111105
2015-04-11,4.608564
2015-04-12,15.086503
2015-04-13,0.50977063
2015-04-14,0.20784885
2015-04-15,2.7760158
2015-04-16,4.4703484e-05
2015-04-17,0.0
2015-04-18,0.006534159
2015-04-19,0.06443635
2015-04-20,0.09239465
2015-04-21,0.0
2015-04-22,0.0
2015-04-23,0.0
2015-04-24,0.7853098
2015-04-25,3.7346947
2015-04-26,0.9496156
2015-04-27,1.9478183
2015-04-28,3.0582323
2015-04-29,9.532063
2015-04-30,0.052668154
2015-05-01,0.2080705
2015-05-02,2.8324165
2015-05-03,13.549674
2015-05-04,1.0170135
2015-05-05,10.964987
2015-05-06,6.3045974
2015-05-07,0.52991134
2015-05-08,10.474142
2015-05-09,6.8795457
2015-05-10,2.6354604
2015-05-11,12.448756
2015-05-12,2.218686
2015-05-13,0.38500875
2015-05-14,0.0012032688
2015-05-15,1.9428898
2015-05-16,1.3862066
2015-05-17,5.1566997
2015-05-18,11.121605
2015-05-19,2.8248186
2015-05-20,0.13751164
2015-05-21,0.08054823
2015-05-22,0.48231333
2015-05-23,0.0029094517
2015-05-24,0.7281527
2015-05-25,0.4285425
2015-05-26,0.1047831
2015-05-27,7.6384063
2015-05-28,4.1895075
2015-05-29,3.7495923
2015-05-30,0.8010697
2015-05-31,0.6060302
2015-06-01,16.248995
2015-06-02,2.0300913
2015-06-03,0.58455765
2015-06-04,0.0012554228
2015-06-05,1.2478995
2015-06-06,1.6106608
2015-06-07,0.1848489
2015-06-08,0.6074272
2015-06-09,0.35396218
2015-06-10,0.0
2015-06-11,0.0
2015-06-12,4.4703484e-05
2015-06-13,1.6690698
2015-06-14,2.1013303
2015-06-15,0.7066503
2015-06-16,1.440702
2015-06-17,3.452342
2015-06-18,0.28852934
2015-06-19,1.1143665
2015-06-20,1.8439051
2015-06-21,9.400686
2015-06-22,1.2152996
2015-06-23,0.068230554
2015-06-24,0.96414423
